corpus_row_id,work_id,part_no,chapter_no,subchapter_no,paragraph_no,source_secondary,sort_key,title_ru,title_en,note
cm.1.1.1.1,thus-spoke-zarathustra,1,1,1,1,"1,1,1,1",1,уход из родины и преображение сердца,leaving homeland,bounded paragraph-aligned route address
cm.1.1.1.2,thus-spoke-zarathustra,1,1,1,2,"1,1,1,2",2,счастье светила и адресаты света,relational sun,bounded paragraph-aligned route address
cm.1.1.1.3,thus-spoke-zarathustra,1,1,1,3,"1,1,1,3",3,"пещера, орёл и змея",cave eagle serpent,bounded paragraph-aligned route address
cm.1.1.1.4,thus-spoke-zarathustra,1,1,1,4,"1,1,1,4",4,ожидание солнца и принятие избытка,mutual blessing,bounded paragraph-aligned route address
cm.1.1.1.5,thus-spoke-zarathustra,1,1,1,5,"1,1,1,5",5,пресыщение мудростью,sated wisdom,bounded paragraph-aligned route address
cm.1.1.1.6,thus-spoke-zarathustra,1,1,1,6,"1,1,1,6",6,"дар, раздача и радость глупости",gift and thorheit,bounded paragraph-aligned route address
cm.1.1.1.7,thus-spoke-zarathustra,1,1,1,7,"1,1,1,7",7,спуск в глубину и свет подземному миру,katabasis,bounded paragraph-aligned route address
cm.1.1.1.8,thus-spoke-zarathustra,1,1,1,8,"1,1,1,8",8,untergehen как имя нисхождения,untergehen,bounded paragraph-aligned route address
cm.1.1.1.9,thus-spoke-zarathustra,1,1,1,9,"1,1,1,9",9,благословение спокойного ока,tranquil eye,bounded paragraph-aligned route address
cm.1.1.1.10,thus-spoke-zarathustra,1,1,1,10,"1,1,1,10",10,переполняющаяся чаша и отблеск блаженства,overflowing cup,bounded paragraph-aligned route address
cm.1.1.1.11,thus-spoke-zarathustra,1,1,1,11,"1,1,1,11",11,опустошение чаши и возвращение к человеку,return to human,bounded paragraph-aligned route address
cm.1.1.1.12,thus-spoke-zarathustra,1,1,1,12,"1,1,1,12",12,начало заката Заратустры,begins the going under,bounded paragraph-aligned route address
