gloss_id,witness_id,segment_id,source_secondary,token_or_phrase,normalized_core,tension_id,gloss_note,status
g.chosen_solitude_and_heart_transformation.de,w.de.nietzsche.canonical_source.v1,seg.1.1.1.1,"1,1,1,1",Einsamkeit; verwandelte sich sein Herz,chosen_solitude_and_heart_transformation,tt.chosen_solitude_and_heart_transformation,load-bearing witness surface,candidate
g.chosen_solitude_and_heart_transformation.ru,w.ru.dionysus.working_translation.v1,seg.1.1.1.1,"1,1,1,1",одиночество; преобразилось его сердце,chosen_solitude_and_heart_transformation,tt.chosen_solitude_and_heart_transformation,load-bearing witness surface,candidate
g.chosen_solitude_and_heart_transformation.en,w.en.dionysus.bridge_translation.v1,seg.1.1.1.1,"1,1,1,1",solitude; heart transformed itself,chosen_solitude_and_heart_transformation,tt.chosen_solitude_and_heart_transformation,load-bearing witness surface,candidate
g.reflected_radiance_and_bliss.de,w.de.nietzsche.canonical_source.v1,seg.1.1.1.10,"1,1,1,10",Abglanz; Wonne,reflected_radiance_and_bliss,tt.reflected_radiance_and_bliss,load-bearing witness surface,candidate
g.reflected_radiance_and_bliss.ru,w.ru.dionysus.working_translation.v1,seg.1.1.1.10,"1,1,1,10",отблеск; ликование,reflected_radiance_and_bliss,tt.reflected_radiance_and_bliss,load-bearing witness surface,candidate
g.reflected_radiance_and_bliss.en,w.en.dionysus.bridge_translation.v1,seg.1.1.1.10,"1,1,1,10",reflection; bliss,reflected_radiance_and_bliss,tt.reflected_radiance_and_bliss,load-bearing witness surface,candidate
g.return_to_human_again.de,w.de.nietzsche.canonical_source.v1,seg.1.1.1.11,"1,1,1,11",wieder Mensch werden,return_to_human_again,tt.return_to_human_again,load-bearing witness surface,candidate
g.return_to_human_again.ru,w.ru.dionysus.working_translation.v1,seg.1.1.1.11,"1,1,1,11",снова стать человеком,return_to_human_again,tt.return_to_human_again,load-bearing witness surface,candidate
g.return_to_human_again.en,w.en.dionysus.bridge_translation.v1,seg.1.1.1.11,"1,1,1,11",become human again,return_to_human_again,tt.return_to_human_again,load-bearing witness surface,candidate
g.gestirn_luminary.de,w.de.nietzsche.canonical_source.v1,seg.1.1.1.2,"1,1,1,2",Gestirn,gestirn_luminary,tt.gestirn_luminary,load-bearing witness surface,candidate
g.gestirn_luminary.ru,w.ru.dionysus.working_translation.v1,seg.1.1.1.2,"1,1,1,2",светило,gestirn_luminary,tt.gestirn_luminary,load-bearing witness surface,candidate
g.gestirn_luminary.en,w.en.dionysus.bridge_translation.v1,seg.1.1.1.2,"1,1,1,2",great star,gestirn_luminary,tt.gestirn_luminary,load-bearing witness surface,candidate
g.overflow.de,w.de.nietzsche.canonical_source.v1,seg.1.1.1.4,"1,1,1,4",Ueberfluss,overflow,tt.overflow,load-bearing witness surface,candidate
g.overflow.ru,w.ru.dionysus.working_translation.v1,seg.1.1.1.4,"1,1,1,4",избыток,overflow,tt.overflow,load-bearing witness surface,candidate
g.overflow.en,w.en.dionysus.bridge_translation.v1,seg.1.1.1.4,"1,1,1,4",overflow,overflow,tt.overflow,load-bearing witness surface,candidate
g.thorheit_folly.de,w.de.nietzsche.canonical_source.v1,seg.1.1.1.6,"1,1,1,6",Thorheit,thorheit_folly,tt.thorheit_folly,load-bearing witness surface,candidate
g.thorheit_folly.ru,w.ru.dionysus.working_translation.v1,seg.1.1.1.6,"1,1,1,6",глупость,thorheit_folly,tt.thorheit_folly,load-bearing witness surface,candidate
g.thorheit_folly.en,w.en.dionysus.bridge_translation.v1,seg.1.1.1.6,"1,1,1,6",folly,thorheit_folly,tt.thorheit_folly,load-bearing witness surface,candidate
g.underworld_descent.de,w.de.nietzsche.canonical_source.v1,seg.1.1.1.7,"1,1,1,7",Unterwelt,underworld_descent,tt.underworld_descent,load-bearing witness surface,candidate
g.underworld_descent.ru,w.ru.dionysus.working_translation.v1,seg.1.1.1.7,"1,1,1,7",подземный мир,underworld_descent,tt.underworld_descent,load-bearing witness surface,candidate
g.underworld_descent.en,w.en.dionysus.bridge_translation.v1,seg.1.1.1.7,"1,1,1,7",underworld,underworld_descent,tt.underworld_descent,load-bearing witness surface,candidate
g.go_under.de,w.de.nietzsche.canonical_source.v1,seg.1.1.1.8,"1,1,1,8",untergehen,go_under,tt.go_under,load-bearing witness surface,candidate
g.go_under.ru,w.ru.dionysus.working_translation.v1,seg.1.1.1.8,"1,1,1,8",закатиться,go_under,tt.go_under,load-bearing witness surface,candidate
g.go_under.en,w.en.dionysus.bridge_translation.v1,seg.1.1.1.8,"1,1,1,8",go under,go_under,tt.go_under,load-bearing witness surface,candidate
